defaultdb=> \dt
                   List of relations
 Schema |           Name            | Type  |  Owner
--------+---------------------------+-------+----------
 public | alerts                    | table | avnadmin
 public | audit_log                 | table | avnadmin
 public | configuration_templates   | table | avnadmin
 public | departments               | table | avnadmin
 public | deployment_tasks          | table | avnadmin
 public | device_reports            | table | avnadmin
 public | device_usb_history        | table | avnadmin
 public | devices                   | table | avnadmin
 public | group_members             | table | avnadmin
 public | groups                    | table | avnadmin
 public | installed_software        | table | avnadmin
 public | knowledge_base            | table | avnadmin
 public | license_compliance        | table | avnadmin
 public | network_topology          | table | avnadmin
 public | notifications             | table | avnadmin
 public | patch_management          | table | avnadmin
 public | performance_anomalies     | table | avnadmin
 public | performance_baselines     | table | avnadmin
 public | resource_predictions      | table | avnadmin
 public | running_processes         | table | avnadmin
 public | security_policies         | table | avnadmin
 public | sla_breaches              | table | avnadmin
 public | sla_policies              | table | avnadmin
 public | software_installations    | table | avnadmin
 public | software_packages         | table | avnadmin
 public | ticket_approvals          | table | avnadmin
 public | ticket_attachments        | table | avnadmin
 public | ticket_comments           | table | avnadmin
 public | tickets                   | table | avnadmin
 public | usb_devices               | table | avnadmin
 public | user_activity             | table | avnadmin
 public | user_sessions             | table | avnadmin
 public | users                     | table | avnadmin
 public | vulnerability_assessments | table | avnadmin
(34 rows)
